ID,Name,Business_Operation_Year,Franchise,Own_Lease,Number_Of_Staff_Before_Covid,Number_Of_Staff_During_Covid,Number_Of_Staff_During_Reopen,Total_Hours_Per_Week_Before_Covid,Total_Hours_Per_Week_During_Covid,Total_Hours_Per_Week_During_Reopen,Delivery,Curbside_Pickup,Dine_In_Service,Patio_Service,Cuisine,Offer_Alcohol,Price_Point_Target,Income_052019_062019,Income_052020_062020,Income_052021_062021,Profit_052019_062019,Profit_052020_062020,Profit_052021_062021,Selected_Open,Helpfulness,Long,Lat,Helpfulness_Factor
1,0109 Dessert + Chocolate,Under 1 year,N,Lease,58,5,15,113,7,92,Y,N,N,N,Mexican,Y,Low-end,264277,51866,47592,8320,1044,1498,N,0,-79.29491,43.81477,0
2,100% SALVA DO RENO,6-10 years,N,Own,50,11,11,73,40,90,Y,Y,Y,N,Mexican,N,Average,257980,68357,64476,11298,400,2823,N,0,-79.4942,43.69724,0
3,1011 SIP TEA,11-20 years,N,Own,39,13,18,114,8,94,Y,N,N,N,Chinese,N,Low-end,196247,96387,98552,4948,2326,2485,N,0,-79.41461,43.66426,0
4,12 TABLES,6-10 years,N,Lease,65,10,44,143,4,55,Y,N,Y,N,Korean,N,Low-end,240190,43925,121680,10596,1617,5368,Y,5,-79.41635,43.72334,5
5,120 DINER,Over 20 years,N,Own,6,13,32,85,7,88,N,Y,Y,N,Others,N,High-end,786610,172129,268622,34449,14938,11764,Y,5,-79.37553,43.65217,5
6,1810 DANFORTH AVENUE SOCIAL CLUB,6-10 years,Y,Own,22,4,45,130,20,89,N,N,Y,N,Chinese,N,Average,447767,56726,393688,11290,6425,9927,Y,5,-79.31856,43.68467,5
7,1858 CAFE,1-5 years,N,Own,27,10,64,113,24,65,Y,N,Y,N,Japanese,N,Low-end,264151,56341,157959,8742,2744,5227,Y,5,-79.37994,43.65012,5
8,1915 LANZHOU RAMEN,6-10 years,Y,Own,27,17,5,148,52,85,N,N,Y,N,Japanese,N,Average,293773,61008,449691,12960,1858,19838,Y,4,-79.38665,43.655,4
9,19TH HOLE GRILL,1-5 years,N,Own,55,19,14,147,47,76,Y,N,N,N,Mexican,Y,High-end,497745,192108,220161,12551,1356,5551,N,0,-79.59756,43.65196,0
10,19TH HOLE SPORTS BAR AND GRILL,Under 1 year,N,Own,61,19,18,124,21,61,Y,Y,Y,N,Korean,N,Low-end,243727,125388,118434,9523,2544,4627,N,0,-79.46394,43.68279,0
11,2 FOR 1 SHAWARMA,1-5 years,N,Own,58,11,28,80,32,64,Y,Y,Y,N,Greek,N,Low-end,137365,22422,117991,3342,981,2871,Y,3,-79.43475,43.6603,3
12,233-PIZZA NOVA,6-10 years,N,Own,32,2,11,119,62,63,N,Y,Y,N,Japanese,Y,High-end,740533,418094,380445,32669,13994,16783,N,0,-79.39012,43.64168,0
13,241 PIZZA,Over 20 years,Y,Lease,11,3,68,128,21,56,Y,Y,N,N,Japanese,N,Low-end,263814,4979,194558,7448,841,5493,Y,5,-79.45064,43.67606,5
14,24SEVEN LOUNGE,6-10 years,Y,Lease,9,8,27,140,25,93,Y,Y,Y,N,Japanese,Y,High-end,660276,135830,454787,21851,2592,15051,Y,3,-79.60061,43.7312,3
15,254 BASEMENT,1-5 years,N,Lease,47,9,16,111,8,51,Y,Y,Y,N,Chinese,Y,Average,449547,81952,92124,14877,5487,3048,N,0,-79.44033,43.65117,0
16,3 BRASSEURS,6-10 years,N,Own,28,8,16,140,4,73,N,N,Y,N,Mexican,N,Low-end,205746,5262,5610,4708,70,128,N,0,-79.41996,43.63871,0
17,3 EGGS ALL DAY PUB & GRILL,11-20 years,N,Lease,25,13,50,120,4,71,Y,N,Y,N,Indian,N,Average,290400,7919,237907,11347,2239,9296,Y,1,-79.42851,43.70059,1
18,3030,Under 1 year,N,Own,33,16,44,104,22,53,Y,N,Y,N,Greek,Y,Low-end,199638,80773,114418,7569,1241,4338,Y,3,-79.4705,43.66583,3
19,32 CHICKEN ST,Under 1 year,Y,Own,14,2,39,134,5,94,N,N,N,N,American,Y,Average,418738,132056,171340,10189,5666,4169,Y,4,-79.40656,43.65653,4
20,360 RESTAURANT,1-5 years,N,Own,5,4,15,76,54,92,Y,Y,N,N,Italian,N,Low-end,267604,122156,140417,10917,5039,5728,N,0,-79.38844,43.64372,0
21,365 BAR & GRILL,Over 20 years,Y,Lease,29,1,14,105,41,54,Y,N,N,N,Others,Y,Low-end,192099,44179,49206,8603,2464,2203,N,0,-79.2193,43.74408,0
22,369 MAZEL,Under 1 year,N,Lease,53,8,4,119,12,96,N,N,Y,Y,American,Y,Low-end,233691,41488,186584,6128,2201,4892,Y,2,-79.30711,43.68727,2
23,416 SNACK BAR,Under 1 year,N,Own,24,11,52,90,49,90,Y,Y,N,N,Italian,N,Low-end,202646,41162,146120,5624,838,4055,Y,4,-79.404,43.64755,4
24,4C BROAST CHICKEN COFFEE AND COLD CORNER,1-5 years,Y,Own,62,18,49,124,69,66,Y,N,Y,N,Indian,N,Average,190745,12767,140355,5385,1449,3962,Y,4,-79.20883,43.76335,4
25,4C Broast Chicken,1-5 years,Y,Lease,56,14,57,121,57,70,Y,N,Y,N,Greek,N,Average,354953,90142,128804,8122,791,2947,Y,1,-79.30782,43.74285,1
26,4C Broast Chicken,1-5 years,Y,Lease,19,5,47,83,15,62,Y,Y,Y,N,Japanese,N,Average,367703,193397,384608,13941,4598,14582,Y,5,-79.30892,43.71022,5
27,5  POINTS BAR & GRILL,11-20 years,Y,Lease,53,12,19,114,52,85,Y,Y,Y,N,Italian,N,Low-end,179690,40243,42157,6976,38,1636,N,0,-79.44145,43.69269,0
28,5 ELEMENTS ESPRESSO BAR,Under 1 year,N,Own,13,3,14,106,38,75,Y,N,Y,N,American,N,Average,283606,70506,270252,11570,3408,11025,Y,1,-79.39587,43.6738,1
29,5 SPICE DINING,1-5 years,N,Lease,22,16,11,88,58,42,Y,N,Y,N,Thai,Y,High-end,783029,469413,464796,30597,3762,18162,N,0,-79.24781,43.82307,0
30,521 CAFE,6-10 years,Y,Own,66,8,2,119,65,49,Y,N,Y,N,Others,Y,High-end,493987,96122,101152,12020,1673,2461,N,0,-79.34821,43.67804,0
31,588,11-20 years,N,Lease,44,15,4,121,0,80,Y,Y,Y,N,Vietnamese,N,Average,402354,67621,66786,18020,1566,2991,N,0,-79.41352,43.65529,0
32,7 NUMBERS,Under 1 year,Y,Own,68,10,49,130,51,58,Y,N,Y,N,Mediterranean,N,Low-end,195595,54229,97554,8023,626,4001,Y,1,-79.35385,43.67696,1
33,7 NUMBERS EGLINTON,Over 20 years,N,Lease,62,18,19,97,20,90,Y,Y,Y,N,Italian,Y,Average,490242,126152,118854,12855,869,3116,N,0,-79.38215,43.71025,0
34,7 WEST CAFE,Over 20 years,N,Lease,22,19,18,112,34,43,Y,N,Y,Y,Korean,N,Low-end,254870,37316,39690,10602,959,1651,N,0,-79.38669,43.6685,0
35,7-ELEVEN,Under 1 year,Y,Own,42,19,9,129,20,74,Y,Y,Y,N,Greek,N,High-end,629288,178460,467627,17767,220,13202,Y,5,-79.38163,43.65724,5
36,709 GREEK CAFE SHOP,Under 1 year,N,Lease,17,2,2,112,19,61,N,N,Y,N,Mediterranean,N,Low-end,239632,3581,3629,5730,2118,86,N,0,-79.34344,43.67901,0
37,8 Noodles/Eight Noodles,1-5 years,N,Own,27,19,3,160,13,73,Y,Y,N,N,Vietnamese,N,Low-end,270507,16279,17756,7413,253,486,N,0,-79.30887,43.7783,0
38,817 SPORTS BAR & GRILL,6-10 years,N,Lease,22,15,4,150,12,40,Y,Y,Y,N,Mexican,N,Low-end,166895,84713,74195,3549,966,1577,N,0,-79.40916,43.64604,0
39,850 DEGREES,1-5 years,Y,Lease,48,4,24,98,38,59,Y,N,N,N,Indian,N,High-end,653805,38732,391205,14961,3208,8951,Y,5,-79.52976,43.59532,5
40,876 JAMROCK RESTAURANT,1-5 years,Y,Own,60,2,28,154,34,53,N,Y,Y,N,Mexican,N,Average,270572,57055,225862,7509,1934,6268,Y,5,-79.58969,43.74264,5
41,977 CAFE,11-20 years,N,Own,28,3,4,109,62,59,Y,Y,Y,N,Chinese,N,Low-end,213866,19008,18554,9446,3580,819,N,0,-79.31023,43.70851,0
42,98 AROMA,Over 20 years,Y,"Lease, want to purchase",37,19,19,123,35,67,Y,N,Y,N,Mediterranean,N,High-end,734295,235643,260215,27840,4878,9866,N,0,-79.3997,43.65653,0
43,989 HAWAII BAR,Under 1 year,N,Lease,59,17,41,90,15,64,Y,Y,N,N,Mediterranean,Y,High-end,626748,203664,271539,25570,4590,11078,Y,4,-79.43163,43.66702,4
44,99 MYTHIC TASTE - NORTH YORK,11-20 years,Y,Own,53,2,31,98,46,62,N,N,Y,N,Chinese,N,High-end,739422,364839,321791,33116,3125,14412,Y,4,-79.41525,43.77553,4
45,99 SUSHI,Under 1 year,Y,Lease,21,12,4,144,59,62,Y,N,Y,N,Indian,Y,Low-end,192829,21835,20576,5166,1830,551,N,0,-79.39322,43.70804,0
46,A & W,Under 1 year,Y,Own,38,2,13,125,19,91,N,N,Y,N,Vietnamese,Y,Average,386924,173538,160361,15021,2088,6225,N,0,-79.52111,43.59752,0
47,A & W,6-10 years,N,Lease,35,16,15,147,1,42,Y,Y,Y,N,Vietnamese,Y,Average,378849,44368,46281,15541,242,1898,N,0,-79.29914,43.78031,0
48,A & W,1-5 years,Y,Lease,55,3,19,147,5,76,Y,N,Y,N,Vietnamese,Y,Low-end,210075,91907,185334,6496,1180,5731,Y,4,-79.48393,43.73465,4
49,A & W,1-5 years,Y,Lease,27,16,12,82,43,66,N,N,Y,N,American,N,Average,478498,9892,3702,19904,9892,153,N,0,-79.37848,43.66043,0
50,A & W,Over 20 years,N,Own,5,7,67,105,11,73,Y,N,Y,N,Japanese,Y,Low-end,269533,27108,145064,10848,193,5838,Y,2,-79.29698,43.72645,2
51,A & W,1-5 years,N,Lease,6,16,14,112,28,64,N,Y,Y,N,Greek,Y,Low-end,125040,18634,17433,4625,1667,644,N,0,-79.34626,43.70555,0
52,A & W,Under 1 year,N,Own,25,9,3,72,51,46,Y,Y,N,N,Others,N,Average,223197,62006,286109,5337,3321,6842,Y,5,-79.47451,43.68162,5
