ID,Name,Business_Operation_Year,Franchise,Own_Lease,Number_Of_Staff_Before_Covid,Number_Of_Staff_During_Covid,Number_Of_Staff_During_Reopen,Total_Hours_Per_Week_Before_Covid,Total_Hours_Per_Week_During_Covid,Total_Hours_Per_Week_During_Reopen,Delivery,Curbside_Pickup,Dine_In_Service,Patio_Service,Cuisine,Offer_Alcohol,Price_Point_Target,Income_052019_062019,Income_052020_062020,Income_052021_062021,Profit_052019_062019,Profit_052020_062020,Profit_052021_062021,Selected_Open,Helpfulness,Long,Lat,Helpfulness_Factor
2,100% SALVA DO RENO,6-10 years,N,Own,50,11,11,73,40,90,Y,Y,Y,N,Mexican,N,Average,257980,68357,64476,11298,400,2823,N,0,-79.4942,43.69724,0
15,254 BASEMENT,1-5 years,N,Lease,47,9,16,111,8,51,Y,Y,Y,N,Chinese,Y,Average,449547,81952,92124,14877,5487,3048,N,0,-79.44033,43.65117,0
31,588,11-20 years,N,Lease,44,15,4,121,0,80,Y,Y,Y,N,Vietnamese,N,Average,402354,67621,66786,18020,1566,2991,N,0,-79.41352,43.65529,0
33,7 NUMBERS EGLINTON,Over 20 years,N,Lease,62,18,19,97,20,90,Y,Y,Y,N,Italian,Y,Average,490242,126152,118854,12855,869,3116,N,0,-79.38215,43.71025,0
46,A & W,Under 1 year,Y,Own,38,2,13,125,19,91,N,N,Y,N,Vietnamese,Y,Average,386924,173538,160361,15021,2088,6225,N,0,-79.52111,43.59752,0
47,A & W,6-10 years,N,Lease,35,16,15,147,1,42,Y,Y,Y,N,Vietnamese,Y,Average,378849,44368,46281,15541,242,1898,N,0,-79.29914,43.78031,0
49,A & W,1-5 years,Y,Lease,27,16,12,82,43,66,N,N,Y,N,American,N,Average,478498,9892,3702,19904,9892,153,N,0,-79.37848,43.66043,0
54,A & W,11-20 years,N,"Lease, want to purchase",45,18,15,157,67,83,Y,Y,Y,N,Thai,N,Average,398016,195111,182347,10908,1836,4997,N,0,-79.3793,43.65143,0
57,A & W,6-10 years,N,Lease,15,7,12,115,14,82,Y,Y,Y,N,Italian,Y,Average,396089,8276,7390,8424,1500,157,N,0,-79.45104,43.73284,0
66,A & W,1-5 years,N,Own,17,14,14,76,15,67,N,Y,Y,N,Greek,N,Average,494820,135552,151251,19915,1296,6087,N,0,-79.38403,43.66309,0
