ID,Name,Business_Operation_Year,Franchise,Own_Lease,Number_Of_Staff_Before_Covid,Number_Of_Staff_During_Covid,Number_Of_Staff_During_Reopen,Total_Hours_Per_Week_Before_Covid,Total_Hours_Per_Week_During_Covid,Total_Hours_Per_Week_During_Reopen,Delivery,Curbside_Pickup,Dine_In_Service,Patio_Service,Cuisine,Offer_Alcohol,Price_Point_Target,Income_052019_102019,Income_052020_102020,Income_052021_102021,Profit_052019_102019,Profit_052020_102020,Profit_052021_102021,Selected_Open,Helpfulness,Long,Lat,Helpfulness_Factor
17,3 EGGS ALL DAY PUB & GRILL,11-20 years,N,Own,52,7,15,109,10,71,Y,N,Y,N,Japanese,Y,High-end,4356109,520587,461571,30558,10881,7730,N,0,-79.42851,43.70059,0
20,360 RESTAURANT,1-5 years,N,"Lease, want to purchase",43,15,1,134,23,75,Y,Y,N,N,Chinese,Y,High-end,3749538,1435708,1830126,22558,2642,10418,N,0,-79.38844,43.64372,0
23,416 SNACK BAR,Over 20 years,N,Own,60,16,3,92,30,75,Y,Y,Y,N,Mexican,N,High-end,4557816,659788,2259344,27102,5785,4463,N,0,-79.404,43.64755,0
39,850 DEGREES,Over 20 years,Y,Lease,33,17,2,131,6,87,Y,N,Y,Y,Greek,N,High-end,3191283,1710067,576368,20705,3736,6193,N,0,-79.52976,43.59532,0
49,A & W,Over 20 years,N,Own,33,17,13,72,17,90,N,Y,Y,Y,Indian,Y,High-end,4534890,1735600,1513637,34760,5821,7015,N,0,-79.37848,43.66043,0
54,A & W,1-5 years,N,Lease,42,2,17,141,8,58,N,Y,N,N,Chinese,Y,High-end,3920250,1222315,783676,26270,10370,6689,N,0,-79.3793,43.65143,0
64,A & W,11-20 years,N,Lease,25,12,12,154,23,66,Y,Y,N,N,Korean,N,High-end,4632231,126981,2621601,34815,10133,15177,N,0,-79.41742,43.72582,0
65,A & W,1-5 years,N,Own,50,10,15,89,42,47,Y,N,Y,N,American,N,High-end,3014762,1623769,461378,28476,2803,7566,N,0,-79.42265,43.65461,0
85,A+ SUSHI & BIBIM,11-20 years,Y,Lease,12,14,8,96,3,92,Y,N,N,N,Greek,N,High-end,3187285,299660,1260608,37873,7755,10372,N,0,-79.43438,43.64105,0
112,ADVANTAGE HEALTH MATTERS INC.,Under 1 year,N,Lease,49,4,19,100,43,68,Y,Y,Y,Y,Italian,N,High-end,3492720,1338254,752069,31839,12741,10965,N,0,-79.56754,43.76584,0
119,AFRICAN PLAYER RESTAURANT,1-5 years,N,Lease,7,13,11,154,5,94,Y,N,Y,Y,American,N,High-end,4203371,384447,1900395,25797,5560,5344,N,0,-79.49595,43.6894,0
127,AH SO SUSHI,1-5 years,Y,"Lease, want to purchase",6,14,17,109,34,45,Y,Y,Y,N,Italian,Y,High-end,4491060,1622907,504284,22422,10916,5077,N,0,-79.32973,43.65767,0
145,AL-MANI GRILL AND BIRYANI,1-5 years,Y,Own,20,4,8,164,11,69,N,Y,N,N,Chinese,N,High-end,4862156,815117,1667794,35975,6212,18280,N,0,-79.2995,43.6889,0
