ID,Name,Business_Operation_Year,Franchise,Own_Lease,Number_Of_Staff_Before_Covid,Number_Of_Staff_During_Covid,Number_Of_Staff_During_Reopen,Total_Hours_Per_Week_Before_Covid,Total_Hours_Per_Week_During_Covid,Total_Hours_Per_Week_During_Reopen,Delivery,Curbside_Pickup,Dine_In_Service,Patio_Service,Cuisine,Offer_Alcohol,Price_Point_Target,Income_052019_062019,Income_052020_062020,Income_052021_062021,Profit_052019_062019,Profit_052020_062020,Profit_052021_062021,Selected_Open,Helpfulness,Long,Lat,Helpfulness_Factor
1,0109 Dessert + Chocolate,Under 1 year,N,Lease,58,5,15,113,7,92,Y,N,N,N,Mexican,Y,Low-end,264277,51866,47592,8320,1044,1498,N,0,-79.29491,43.81477,0
3,1011 SIP TEA,11-20 years,N,Own,39,13,18,114,8,94,Y,N,N,N,Chinese,N,Low-end,196247,96387,98552,4948,2326,2485,N,0,-79.41461,43.66426,0
10,19TH HOLE SPORTS BAR AND GRILL,Under 1 year,N,Own,61,19,18,124,21,61,Y,Y,Y,N,Korean,N,Low-end,243727,125388,118434,9523,2544,4627,N,0,-79.46394,43.68279,0
16,3 BRASSEURS,6-10 years,N,Own,28,8,16,140,4,73,N,N,Y,N,Mexican,N,Low-end,205746,5262,5610,4708,70,128,N,0,-79.41996,43.63871,0
20,360 RESTAURANT,1-5 years,N,Own,5,4,15,76,54,92,Y,Y,N,N,Italian,N,Low-end,267604,122156,140417,10917,5039,5728,N,0,-79.38844,43.64372,0
21,365 BAR & GRILL,Over 20 years,Y,Lease,29,1,14,105,41,54,Y,N,N,N,Others,Y,Low-end,192099,44179,49206,8603,2464,2203,N,0,-79.2193,43.74408,0
27,5  POINTS BAR & GRILL,11-20 years,Y,Lease,53,12,19,114,52,85,Y,Y,Y,N,Italian,N,Low-end,179690,40243,42157,6976,38,1636,N,0,-79.44145,43.69269,0
34,7 WEST CAFE,Over 20 years,N,Lease,22,19,18,112,34,43,Y,N,Y,Y,Korean,N,Low-end,254870,37316,39690,10602,959,1651,N,0,-79.38669,43.6685,0
36,709 GREEK CAFE SHOP,Under 1 year,N,Lease,17,2,2,112,19,61,N,N,Y,N,Mediterranean,N,Low-end,239632,3581,3629,5730,2118,86,N,0,-79.34344,43.67901,0
37,8 Noodles/Eight Noodles,1-5 years,N,Own,27,19,3,160,13,73,Y,Y,N,N,Vietnamese,N,Low-end,270507,16279,17756,7413,253,486,N,0,-79.30887,43.7783,0
38,817 SPORTS BAR & GRILL,6-10 years,N,Lease,22,15,4,150,12,40,Y,Y,Y,N,Mexican,N,Low-end,166895,84713,74195,3549,966,1577,N,0,-79.40916,43.64604,0
41,977 CAFE,11-20 years,N,Own,28,3,4,109,62,59,Y,Y,Y,N,Chinese,N,Low-end,213866,19008,18554,9446,3580,819,N,0,-79.31023,43.70851,0
