ID,Name,Business_Operation_Year,Franchise,Own_Lease,Number_Of_Staff_Before_Covid,Number_Of_Staff_During_Covid,Number_Of_Staff_During_Reopen,Total_Hours_Per_Week_Before_Covid,Total_Hours_Per_Week_During_Covid,Total_Hours_Per_Week_During_Reopen,Delivery,Curbside_Pickup,Dine_In_Service,Patio_Service,Cuisine,Offer_Alcohol,Price_Point_Target,Income_052019_102019,Income_052020_102020,Income_052021_102021,Profit_052019_102019,Profit_052020_102020,Profit_052021_102021,Selected_Open,Helpfulness,Long,Lat,Helpfulness_Factor
4,12 TABLES,Under 1 year,N,"Lease, want to purchase",15,2,14,91,61,79,Y,Y,Y,N,Thai,N,Average,3409554,1599858,2076809,20368,3339,5296,N,0,-79.41635,43.72334,0
5,120 DINER,Over 20 years,N,Lease,14,13,12,80,50,66,Y,N,Y,N,Japanese,N,Low-end,1711345,753066,251709,9452,1298,4178,N,0,-79.37553,43.65217,0
7,1858 CAFE,11-20 years,N,Lease,53,11,11,77,49,76,Y,Y,Y,Y,Mediterranean,Y,Low-end,902468,18511,686584,6429,3952,2133,N,0,-79.37994,43.65012,0
9,19TH HOLE GRILL,1-5 years,N,Own,59,3,5,161,1,89,Y,Y,N,Y,Italian,N,Low-end,1692099,960521,1309238,5024,2538,2863,N,0,-79.59756,43.65196,0
12,233-PIZZA NOVA,1-5 years,Y,"Lease, want to purchase",44,15,2,76,14,89,N,Y,Y,N,Greek,N,Low-end,1825470,157005,397155,7805,2189,1770,N,0,-79.39012,43.64168,0
14,24SEVEN LOUNGE,11-20 years,N,Lease,65,12,1,119,54,56,Y,Y,Y,N,Mexican,N,Low-end,1386640,245439,1580912,8996,2190,1932,N,0,-79.60061,43.7312,0
17,3 EGGS ALL DAY PUB & GRILL,11-20 years,N,Own,52,7,15,109,10,71,Y,N,Y,N,Japanese,Y,High-end,4356109,520587,461571,30558,10881,7730,N,0,-79.42851,43.70059,0
20,360 RESTAURANT,1-5 years,N,"Lease, want to purchase",43,15,1,134,23,75,Y,Y,N,N,Chinese,Y,High-end,3749538,1435708,1830126,22558,2642,10418,N,0,-79.38844,43.64372,0
21,365 BAR & GRILL,1-5 years,N,Lease,27,9,15,77,67,96,Y,Y,N,N,Japanese,N,Average,2636636,1014821,580048,10182,4472,4665,N,0,-79.2193,43.74408,0
22,369 MAZEL,Under 1 year,N,Own,67,1,9,98,52,44,Y,N,N,N,Others,Y,Low-end,1652607,285431,988358,8928,859,5660,N,0,-79.30711,43.68727,0
23,416 SNACK BAR,Over 20 years,N,Own,60,16,3,92,30,75,Y,Y,Y,N,Mexican,N,High-end,4557816,659788,2259344,27102,5785,4463,N,0,-79.404,43.64755,0
29,5 SPICE DINING,1-5 years,N,"Lease, want to purchase",20,11,1,134,35,71,N,Y,Y,N,Chinese,N,Low-end,1204092,496188,582802,7798,3540,1571,N,0,-79.24781,43.82307,0
30,521 CAFE,Over 20 years,N,Own,6,14,2,136,25,56,Y,N,N,Y,Mexican,N,Average,3233732,819471,1289503,19539,6221,9146,N,0,-79.34821,43.67804,0
37,8 Noodles/Eight Noodles,6-10 years,N,Lease,7,18,1,76,39,70,Y,Y,Y,N,Korean,Y,Low-end,853300,320776,443491,8673,1091,1525,N,0,-79.30887,43.7783,0
39,850 DEGREES,Over 20 years,Y,Lease,33,17,2,131,6,87,Y,N,Y,Y,Greek,N,High-end,3191283,1710067,576368,20705,3736,6193,N,0,-79.52976,43.59532,0
40,876 JAMROCK RESTAURANT,11-20 years,N,Own,41,13,18,118,66,90,Y,N,Y,N,Italian,N,Average,2753342,1766664,529625,20982,12747,7054,N,0,-79.58969,43.74264,0
41,977 CAFE,1-5 years,Y,Lease,25,9,9,167,5,95,Y,N,Y,N,Greek,N,Low-end,1177581,121711,1182401,9654,1344,1778,N,0,-79.31023,43.70851,0
44,99 MYTHIC TASTE - NORTH YORK,6-10 years,Y,Own,67,8,15,160,59,69,Y,Y,Y,N,Vietnamese,N,Low-end,1047072,287748,432228,5788,1467,1703,N,0,-79.41525,43.77553,0
49,A & W,Over 20 years,N,Own,33,17,13,72,17,90,N,Y,Y,Y,Indian,Y,High-end,4534890,1735600,1513637,34760,5821,7015,N,0,-79.37848,43.66043,0
50,A & W,Over 20 years,N,Own,17,14,6,95,64,54,Y,N,Y,N,Thai,N,Average,1552873,21782,871124,16773,7879,5733,N,0,-79.29698,43.72645,0
51,A & W,6-10 years,Y,Own,41,19,5,149,9,91,Y,Y,N,Y,Mediterranean,Y,Average,2452762,624707,1489986,13700,4389,7205,N,0,-79.34626,43.70555,0
54,A & W,1-5 years,N,Lease,42,2,17,141,8,58,N,Y,N,N,Chinese,Y,High-end,3920250,1222315,783676,26270,10370,6689,N,0,-79.3793,43.65143,0
55,A & W,1-5 years,N,Lease,62,16,10,95,17,46,Y,Y,Y,Y,Greek,N,Low-end,815304,23791,1165481,7661,58,3325,N,0,-79.39991,43.71537,0
59,A & W,Over 20 years,N,"Lease, want to purchase",48,3,5,80,68,87,Y,Y,Y,N,Mediterranean,N,Low-end,1938770,396143,527371,8602,991,2430,N,0,-79.43723,43.64046,0
62,A & W,1-5 years,Y,Lease,5,4,4,141,62,90,N,Y,Y,Y,Mexican,Y,Average,1664893,130635,333907,16290,4820,5593,N,0,-79.5224,43.64549,0
63,A & W,6-10 years,N,Lease,44,11,6,97,13,42,Y,N,N,N,Others,N,Low-end,1643653,189915,937499,9287,1600,2543,N,0,-79.38994,43.64598,0
64,A & W,11-20 years,N,Lease,25,12,12,154,23,66,Y,Y,N,N,Korean,N,High-end,4632231,126981,2621601,34815,10133,15177,N,0,-79.41742,43.72582,0
65,A & W,1-5 years,N,Own,50,10,15,89,42,47,Y,N,Y,N,American,N,High-end,3014762,1623769,461378,28476,2803,7566,N,0,-79.42265,43.65461,0
66,A & W,1-5 years,N,"Lease, want to purchase",30,16,11,91,53,89,Y,Y,Y,N,Others,N,Low-end,1653286,441719,421182,6171,1725,2347,N,0,-79.38403,43.66309,0
67,A & W,6-10 years,N,Own,28,3,8,117,39,92,Y,Y,N,N,Thai,Y,Average,1956416,532028,1269463,22952,9423,8523,N,0,-79.3448,43.67917,0
68,A & W,1-5 years,Y,Lease,57,3,18,130,8,90,N,N,Y,N,Greek,Y,Low-end,1117965,123002,223941,6879,1199,2059,N,0,-79.39693,43.70677,0
74,A + W,1-5 years,N,Lease,53,15,10,128,55,65,Y,N,Y,Y,Japanese,Y,Low-end,1026848,32836,447245,8211,1586,2895,N,0,-79.32521,43.76055,0
75,A I SUSHI,1-5 years,N,Lease,7,10,2,112,6,68,Y,Y,Y,N,Vietnamese,N,Average,2606652,658420,310711,23556,2878,3385,N,0,-79.24088,43.79262,0
78,A& W,1-5 years,Y,Lease,69,3,11,165,69,96,Y,Y,N,Y,Japanese,N,Low-end,1167373,620556,381124,6823,1375,3980,N,0,-79.35239,43.66536,0
82,A&W,Under 1 year,N,Own,64,7,16,102,23,83,N,N,Y,N,Others,Y,Low-end,1226723,390337,956939,6374,3304,2242,N,0,-79.47478,43.76733,0
83,A&W,1-5 years,N,Lease,38,14,11,150,46,69,N,Y,N,N,Chinese,Y,Low-end,1370770,227747,750594,9119,2154,5544,N,0,-79.37803,43.66664,0
85,A+ SUSHI & BIBIM,11-20 years,Y,Lease,12,14,8,96,3,92,Y,N,N,N,Greek,N,High-end,3187285,299660,1260608,37873,7755,10372,N,0,-79.43438,43.64105,0
87,A-OK CAFE,Over 20 years,N,Own,28,11,3,134,62,55,Y,Y,N,N,Mexican,N,Low-end,1530941,611188,552064,9568,2801,3794,N,0,-79.38832,43.67039,0
