ID,NAME,TYPE,ADDRESS,LATITUDE,LONGITUDE,STATUS,INSPECTION
9008018,'K' STORE,Food Store (Convenience/Variety),99 CARLTON ST,43.66205,-79.37747,Pass,[object Object]
10510325,0109 Dessert + Chocolate,Restaurant,"2190 MCNICOLL AVE, -109",43.81477,-79.29491,Pass,[object Object]
10500438,1 PLUS 1 PIZZA,Food Take Out,361 OAKWOOD AVE,43.68725,-79.43842,Pass,"[object Object],[object Object],[object Object],[object Object]"
10325728,1-SATELLITE KITCHEN,Food Take Out,1 BLUE JAYS WAY,43.64168,-79.39012,Pass,"[object Object],[object Object]"
10556602,100% Korean,Food Take Out,4779 STEELES AVE E,43.82529,-79.29867,Pass,"[object Object],[object Object],[object Object]"
10588973,100% SALVA DO RENO,Restaurant,612 TRETHEWEY DR,43.69724,-79.4942,Pass,"[object Object],[object Object],[object Object],[object Object]"
10356847,1000 VARIETY,Food Store (Convenience/Variety),1000 PAPE AVE,43.68829,-79.34863,Pass,"[object Object],[object Object]"
10706663,1011 SIP TEA,Restaurant,635A BLOOR ST W,43.66426,-79.41461,Pass,"[object Object],[object Object]"
10682883,103 - JANE DOUGH,Food Take Out,1 BLUE JAYS WAY,43.64168,-79.39012,Pass,[object Object]
10365046,106-TIM HORTONS,Food Take Out,1 BLUE JAYS WAY,43.64168,-79.39012,Pass,"[object Object],[object Object]"
10334786,109-MUDDY YORK,Food Take Out,1 BLUE JAYS WAY,43.64168,-79.39012,Pass,"[object Object],[object Object]"
10715579,10XTO,Food Take Out,107 PRINCES BLVD,43.63375,-79.41207,Pass,[object Object]
10441981,10tation Event Catering,Food Caterer,232 NORSEMAN ST,43.63225,-79.52951,Pass,"[object Object],[object Object],[object Object],[object Object],[object Object]"
10431055,112-GARRISON CREEK FLAT GRILL,Hot Dog Cart,1 BLUE JAYS WAY,43.64168,-79.39012,Pass,"[object Object],[object Object]"
10435255,114- HOGG'S HOLLOW,Food Take Out,1 BLUE JAYS WAY,43.64168,-79.39012,Pass,"[object Object],[object Object]"
10531049,115-HOGGS HOLLOW ICE COMPANY,Food Take Out,1 BLUE JAYS WAY,43.64168,-79.39012,Pass,[object Object]
10300086,115-PIZZA NOVA,Food Take Out,1 BLUE JAYS WAY,43.64168,-79.39012,Pass,[object Object]
10417459,117-CORKTOWN FRESH BURGER,Food Take Out,1 BLUE JAYS WAY,43.64168,-79.39012,Pass,"[object Object],[object Object]"
10334795,117-GARRISON CREEK FLAT GRILL,Food Take Out,1 BLUE JAYS WAY,43.64168,-79.39012,Pass,"[object Object],[object Object]"
10535140,119-BIG LEAGUES CLASSIC,Food Take Out,1 BLUE JAYS WAY,43.64168,-79.39012,Pass,"[object Object],[object Object]"
10459657,12 BAR,Food Take Out,1 BLUE JAYS WAY,43.64168,-79.39012,Pass,[object Object]
10589964,12 TABLES,Restaurant,1552 AVENUE RD,43.72334,-79.41635,Pass,"[object Object],[object Object]"
10514628,120 DINER,Restaurant,120 CHURCH ST,43.65217,-79.37553,Pass,"[object Object],[object Object]"
10300071,120-BALL PARK FAVORITES,Food Take Out,1 BLUE JAYS WAY,43.64168,-79.39012,Pass,"[object Object],[object Object]"
10334647,121-CARVERY,Food Take Out,1 BLUE JAYS WAY,43.64168,-79.39012,Pass,[object Object]
10445478,123-BIG LEAGUE CLASSICS,Food Take Out,1 BLUE JAYS WAY,43.64168,-79.39012,Pass,"[object Object],[object Object]"
10334585,125-BASES LOADED NACHOS,Food Take Out,1 BLUE JAYS WAY,43.64168,-79.39012,Pass,"[object Object],[object Object]"
10349216,128-BALL PARK FAVOURITES,Food Take Out,1 BLUE JAYS WAY,43.64168,-79.39012,Pass,"[object Object],[object Object]"
10566372,132-OLD SPADINA AVENUE KOSHER,Food Take Out,1 BLUE JAYS WAY,43.64168,-79.39012,Pass,"[object Object],[object Object]"
10494074,134-ALL STAR CHICKEN,Food Take Out,1 BLUE JAYS WAY,43.64168,-79.39012,Pass,"[object Object],[object Object]"
10649330,137 - DUGOUT DEALS,Food Take Out,1 BLUE JAYS WAY,43.64168,-79.39012,Pass,"[object Object],[object Object]"
9348578,147 ELDER ST INC.,Retirement Homes(Licensed),147 ELDER ST,43.76273,-79.45402,Pass,"[object Object],[object Object],[object Object]"
9013060,149 TYNDALL HOUSE,Boarding / Lodging Home - Kitchen,149 TYNDALL AVE,43.63816,-79.42864,Pass,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
10659612,1675 PATISSERIE,Food Take Out,4750 YONGE ST,43.76048,-79.41103,Pass,"[object Object],[object Object]"
10553551,1775111 ONTARIO LIMITED,Bakery,2242 KINGSTON RD,43.70464,-79.25281,Pass,"[object Object],[object Object]"
10383994,18 SMOKE SHOP & VARIETY,Food Store (Convenience/Variety),222 SPADINA AVE,43.65141,-79.39758,Pass,[object Object]
10464953,1810 DANFORTH AVENUE SOCIAL CLUB,Restaurant,1810 DANFORTH AVE,43.68467,-79.31856,Pass,[object Object]
10569790,1858 CAFE,Restaurant,22 ADELAIDE ST W,43.65012,-79.37994,Pass,"[object Object],[object Object],[object Object]"
9057968,187 DUNN,Boarding / Lodging Home - Kitchen,187 DUNN AVE,43.63792,-79.4333,Pass,"[object Object],[object Object],[object Object],[object Object],[object Object]"
10629287,1871 BERKELEY CHURCH,Banquet Facility,315 QUEEN ST E,43.65519,-79.36597,Pass,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
10569465,1915 LANZHOU RAMEN,Restaurant,185 DUNDAS ST W,43.655,-79.38665,Pass,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
10447525,19TH HOLE GRILL,Restaurant,550 CENTENNIAL PARK BLVD,43.65196,-79.59756,Pass,"[object Object],[object Object]"
10318628,19TH HOLE SPORTS BAR AND GRILL,Restaurant,434 ROGERS RD,43.68279,-79.46394,Pass,"[object Object],[object Object],[object Object]"
10495816,2 4 1 Pizza,Food Take Out,1383 DAVENPORT RD,43.67276,-79.44105,Pass,"[object Object],[object Object],[object Object]"
10487649,2 BROS CUISINE,Food Take Out,"1500 ROYAL YORK RD, UNIT-34",43.69163,-79.53185,Pass,"[object Object],[object Object],[object Object],[object Object]"
9052114,2 CATS COCKTAIL LOUNGE,Cocktail Bar / Beverage Room,569 KING ST W,43.64442,-79.39946,Pass,
10689846,2 FOR 1 SHAWARMA,Restaurant,1106 BLOOR ST W,43.6603,-79.43475,Pass,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
9337469,2 OR 3 PIZZA & WINGS,Food Take Out,2382 LAKE SHORE BLVD W,43.6157,-79.4886,Pass,"[object Object],[object Object],[object Object]"
9000026,2-4-1 PIZZA,Food Take Out,2372 EGLINTON AVE E,43.73204,-79.27102,Pass,"[object Object],[object Object]"
10349645,2-4-1 PIZZA,Food Take Out,1756 LAWRENCE AVE E,43.74284,-79.30787,Pass,"[object Object],[object Object]"
10300413,2-4-1 PIZZA,Food Take Out,2834 VICTORIA PARK AVE,43.78812,-79.32944,Pass,"[object Object],[object Object],[object Object]"
10284603,2-4-1 PIZZA,Food Take Out,1016 GERRARD ST E,43.66893,-79.3379,Pass,"[object Object],[object Object]"
9043776,2-4-1 PIZZA,Food Take Out,3815 LAKE SHORE BLVD W,43.5922,-79.54258,Pass,"[object Object],[object Object],[object Object]"
9016832,2-4-1 PIZZA,Food Take Out,2291 KIPLING AVE,43.7294,-79.5742,Pass,"[object Object],[object Object],[object Object],[object Object]"
9000046,2-4-1 PIZZA,Food Take Out,"1468 QUEEN ST W, Unit-2",43.64059,-79.43665,Pass,"[object Object],[object Object]"
9000031,2-4-1 PIZZA,Food Take Out,759 JANE ST,43.67153,-79.49335,Pass,"[object Object],[object Object],[object Object]"
10294608,2-4-1 PIZZA #37,Food Take Out,1055 BLOOR ST W,43.66057,-79.43258,Pass,"[object Object],[object Object]"
10576638,2-4-1 Pizza,Food Take Out,"3300 LAWRENCE AVE E, Unit-#6",43.75808,-79.23594,Pass,[object Object]
10325721,2-SATELLITE KITCHEN,Food Take Out,1 BLUE JAYS WAY,43.64168,-79.39012,Pass,"[object Object],[object Object]"
10717089,2045 SPICY SPACE,Food Take Out,"790 MILITARY TRL, Unit-1A",43.79021,-79.19546,Pass,[object Object]
10674734,207- BIG SMOKE FOOD CO,Cafeteria - Public Access,1 BLUE JAYS WAY,43.64168,-79.39012,Pass,"[object Object],[object Object]"
10300069,209 - POP UP,Food Take Out,1 BLUE JAYS WAY,43.64168,-79.39012,Pass,"[object Object],[object Object]"
10514060,21 SEVEN MARKET,Supermarket,1000 BLOOR ST W,43.66093,-79.43038,Pass,[object Object]
10334676,211-V-CONCESSION,Food Take Out,1 BLUE JAYS WAY,43.64168,-79.39012,Pass,[object Object]
10475817,214-GARRISON CREEK GRILL,Food Take Out,1 BLUE JAYS WAY,43.64168,-79.39012,Pass,"[object Object],[object Object]"
10531045,215-TWELVE KITCHEN,Food Take Out,1 BLUE JAYS WAY,43.64168,-79.39012,Pass,"[object Object],[object Object]"
10541993,219- THE URBAN KITCHEN,Food Take Out,1 BLUE JAYS WAY,43.64168,-79.39012,Pass,[object Object]
10300066,220-URBAN KITCHEN,Food Take Out,1 BLUE JAYS WAY,43.64168,-79.39012,Pass,[object Object]
10386934,2220956 ONTARIO INC.,Hot Dog Cart,1015 LAKE SHORE BLVD E,43.65798,-79.32992,Pass,"[object Object],[object Object]"
10300083,224-TD CLUBHOUSE,Food Take Out,1 BLUE JAYS WAY,43.64168,-79.39012,Pass,"[object Object],[object Object]"
10399648,2257029 ONTARIO INC.,Mobile Food Preparation Premises,235 QUEENS QUAY W,43.63912,-79.38289,Pass,
10300065,228-ZOOM FOODS,Food Take Out,1 BLUE JAYS WAY,43.64168,-79.39012,Pass,"[object Object],[object Object]"
10634917,229-FRESH BURGER,Food Take Out,1 BLUE JAYS WAY,43.64168,-79.39012,Pass,"[object Object],[object Object]"
10536426,232-BACARDI AT THE PARK,Cocktail Bar / Beverage Room,1 BLUE JAYS WAY,43.64168,-79.39012,Pass,"[object Object],[object Object]"
10431057,233-PIZZA NOVA,Restaurant,1 BLUE JAYS WAY,43.64168,-79.39012,Pass,"[object Object],[object Object]"
10682804,234-BUDWEISER,Food Take Out,1 BLUE JAYS WAY,43.64168,-79.39012,Pass,[object Object]
10531046,234-CABBAGETOWN MERCANTILE,Food Take Out,1 BLUE JAYS WAY,43.64168,-79.39012,Pass,[object Object]
