ID,Name,Business_Operation_Year,Franchise,Own_Lease,Number_Of_Staff_Before_Covid,Number_Of_Staff_During_Covid,Number_Of_Staff_During_Reopen,Total_Hours_Per_Week_Before_Covid,Total_Hours_Per_Week_During_Covid,Total_Hours_Per_Week_During_Reopen,Delivery,Curbside_Pickup,Dine_In_Service,Patio_Service,Cuisine,Offer_Alcohol,Price_Point_Target,Income_052019_102019,Income_052020_102020,Income_052021_102021,Profit_052019_102019,Profit_052020_102020,Profit_052021_102021,Selected_Open,Helpfulness,Long,Lat,Helpfulness_Factor
5,120 DINER,Under 1 year,Y,Lease,49,7,68,85,61,63,N,N,Y,N,Japanese,N,High-end,3574317,240055,1078825,39465,11679,8168,Y,4,-79.37553,43.65217,4
6,1810 DANFORTH AVENUE SOCIAL CLUB,Under 1 year,Y,"Lease, want to purchase",46,2,33,122,37,44,Y,Y,Y,N,Vietnamese,N,Low-end,867275,941085,515790,5673,2479,8865,Y,3,-79.31856,43.68467,3
8,1915 LANZHOU RAMEN,6-10 years,N,Lease,37,11,8,95,58,74,Y,Y,Y,N,Mexican,N,Average,3048864,120420,955846,13867,10714,6185,Y,3,-79.38665,43.655,3
11,2 FOR 1 SHAWARMA,1-5 years,N,Lease,58,8,52,95,51,76,Y,Y,Y,N,Italian,N,Average,2700150,371764,1076175,24628,17764,5570,Y,2,-79.43475,43.6603,2
12,233-PIZZA NOVA,1-5 years,N,Lease,49,17,9,106,22,62,Y,N,Y,N,Greek,N,Low-end,1051158,962678,656893,5793,467,5533,Y,3,-79.39012,43.64168,3
14,24SEVEN LOUNGE,Over 20 years,N,Lease,26,3,67,107,49,68,Y,Y,Y,Y,Vietnamese,N,Low-end,861356,281346,609201,8382,690,3225,Y,3,-79.60061,43.7312,3
16,3 BRASSEURS,1-5 years,Y,Own,67,8,9,166,20,75,Y,N,Y,N,Mexican,N,High-end,4183333,398306,475044,28165,19732,8926,Y,3,-79.41996,43.63871,3
19,32 CHICKEN ST,Over 20 years,Y,Lease,23,13,11,156,11,59,Y,Y,Y,N,Mexican,Y,Average,2372158,696678,604480,10758,4121,3146,Y,3,-79.40656,43.65653,3
21,365 BAR & GRILL,11-20 years,Y,Lease,11,9,35,103,22,86,Y,N,Y,N,Chinese,Y,Average,1509396,433216,858423,18563,9215,8628,Y,4,-79.2193,43.74408,4
23,416 SNACK BAR,1-5 years,Y,Own,60,16,16,110,36,56,Y,Y,Y,N,Indian,Y,Average,3063293,397804,1205762,13888,7542,8676,Y,4,-79.404,43.64755,4
24,4C BROAST CHICKEN COFFEE AND COLD CORNER,Over 20 years,Y,Own,69,7,46,102,12,92,Y,Y,Y,N,Chinese,Y,Average,2686600,602687,1487649,15632,10216,5533,Y,3,-79.20883,43.76335,3
25,4C Broast Chicken,Over 20 years,N,Lease,64,7,27,122,29,51,Y,N,N,N,Vietnamese,N,Average,2258120,356250,3737757,22108,20447,28887,Y,4,-79.30782,43.74285,4
29,5 SPICE DINING,6-10 years,Y,"Lease, want to purchase",39,3,66,82,55,41,Y,N,Y,Y,Others,Y,Low-end,1679999,608895,1475064,7954,1451,11929,Y,3,-79.24781,43.82307,3
34,7 WEST CAFE,1-5 years,N,"Lease, want to purchase",68,6,20,81,3,70,Y,Y,Y,N,Mexican,N,Average,1551847,765880,1366086,15918,14347,4187,Y,3,-79.38669,43.6685,3
35,7-ELEVEN,1-5 years,Y,Lease,61,10,57,153,51,68,Y,N,Y,N,Italian,N,Average,2816708,872415,991993,22325,19428,8511,Y,3,-79.38163,43.65724,3
36,709 GREEK CAFE SHOP,1-5 years,Y,Own,65,4,19,131,18,61,Y,Y,Y,N,Mediterranean,Y,Average,2609982,516548,1080150,10822,6605,7646,Y,2,-79.34344,43.67901,2
37,8 Noodles/Eight Noodles,11-20 years,Y,Lease,15,15,25,117,38,60,N,N,Y,N,American,Y,Low-end,1241673,678531,724923,7558,6116,7375,Y,3,-79.30887,43.7783,3
42,98 AROMA,6-10 years,Y,Lease,66,9,5,95,50,86,Y,Y,Y,N,Japanese,Y,Low-end,1684194,723107,1215053,6776,4584,10680,Y,4,-79.3997,43.65653,4
44,99 MYTHIC TASTE - NORTH YORK,11-20 years,Y,"Lease, want to purchase",18,15,67,108,43,80,Y,N,Y,N,Greek,N,Average,2272832,168664,617756,10487,9104,4140,Y,4,-79.41525,43.77553,4
45,99 SUSHI,Over 20 years,Y,Lease,25,6,28,78,63,49,Y,Y,Y,Y,Vietnamese,N,High-end,3031268,389802,251904,32740,16863,3528,Y,4,-79.39322,43.70804,4
46,A & W,1-5 years,N,Own,14,12,10,119,25,69,Y,N,Y,Y,Japanese,Y,Average,1958152,594355,732930,13862,305,5705,Y,4,-79.52111,43.59752,4
48,A & W,Over 20 years,Y,Lease,56,19,12,165,4,56,N,N,Y,N,Mexican,Y,Low-end,1396998,21518,708660,5827,274,3837,Y,2,-79.48393,43.73465,2
49,A & W,1-5 years,N,Lease,11,14,11,167,26,67,Y,N,N,N,Mexican,Y,Low-end,844291,233484,4259300,9646,4846,34012,Y,4,-79.37848,43.66043,4
50,A & W,Under 1 year,N,Lease,43,12,4,130,22,92,Y,N,Y,N,Japanese,Y,Low-end,1746350,125940,263010,9681,55,5424,Y,4,-79.29698,43.72645,4
52,A & W,1-5 years,N,Own,16,3,39,96,36,65,N,N,Y,Y,Mexican,N,Low-end,1957464,452360,807753,7118,2996,8693,Y,3,-79.47451,43.68162,3
53,A & W,1-5 years,Y,Lease,6,9,42,92,5,96,Y,Y,Y,N,Korean,Y,Low-end,1266756,193276,1274943,7154,1046,5869,Y,3,-79.22421,43.76155,3
55,A & W,Under 1 year,N,Own,15,14,32,148,62,74,Y,N,Y,N,Japanese,Y,Low-end,1490489,609753,492174,6347,6154,10523,Y,2,-79.39991,43.71537,2
56,A & W,Under 1 year,N,Lease,15,7,9,79,33,41,N,Y,Y,N,Vietnamese,Y,Average,2394667,429424,1474768,16630,55,4857,Y,3,-79.35889,43.67597,3
57,A & W,1-5 years,N,Lease,63,12,1,127,26,91,Y,Y,Y,N,Vietnamese,N,Average,1985909,75768,848319,22966,3656,3446,Y,2,-79.45104,43.73284,2
58,A & W,11-20 years,N,Lease,49,10,67,117,40,78,Y,Y,N,N,Mediterranean,N,Low-end,1888606,42486,2784592,5197,2985,27661,Y,4,-79.41065,43.66525,4
60,A & W,1-5 years,N,Lease,34,3,25,115,23,75,Y,Y,N,N,Others,N,Low-end,1006330,447280,1797686,8604,7282,34770,Y,2,-79.4649,43.66558,2
68,A & W,1-5 years,N,Lease,43,10,57,109,23,50,N,Y,Y,N,Others,N,Average,3033023,536125,1416132,19651,16973,11475,Y,4,-79.39693,43.70677,4
69,A & W,1-5 years,Y,Own,25,13,67,165,14,86,Y,Y,N,N,Others,N,Average,2011396,603421,2393806,19338,170,15321,Y,3,-79.39578,43.64886,3
70,A & W,1-5 years,N,Lease,58,4,34,114,40,71,Y,Y,Y,N,Italian,N,Average,3213995,709757,349973,14234,788,7872,Y,2,-79.30181,43.76624,2
71,A & W,11-20 years,Y,Lease,64,5,55,152,64,77,Y,N,Y,N,Korean,N,Low-end,1244411,771752,507898,9885,618,8625,Y,4,-79.39908,43.70716,4
72,A & W 4458,Over 20 years,N,Own,13,2,38,97,9,71,Y,Y,Y,Y,Mexican,N,High-end,4022754,789536,1135732,20383,2928,10660,Y,4,-79.22282,43.80918,4
73,A & W RESTAURANT,11-20 years,N,Lease,32,15,48,101,55,68,Y,Y,Y,N,Others,N,High-end,3252950,732837,564992,38079,33290,7500,Y,4,-79.43477,43.65993,4
74,A + W,Under 1 year,N,Own,48,10,4,153,49,51,Y,N,Y,N,Italian,N,Average,1934456,655927,431503,18493,8913,11903,Y,4,-79.32521,43.76055,4
75,A I SUSHI,Over 20 years,Y,Own,48,7,14,135,17,47,Y,N,Y,N,Mediterranean,N,Average,2612399,20267,1007789,18131,16013,5944,Y,4,-79.24088,43.79262,4
76,A LA TURK,6-10 years,N,Own,31,17,15,160,23,75,N,N,Y,Y,Greek,N,Low-end,907138,402445,338463,6428,4978,3933,Y,4,-79.40423,43.73358,4
79,A&W,6-10 years,N,Own,20,14,43,148,10,79,Y,N,Y,N,Mexican,N,Low-end,941231,88354,843473,5588,1166,3056,Y,2,-79.33224,43.68174,2
80,A&W,6-10 years,Y,Own,66,3,9,112,19,82,N,N,Y,N,Chinese,Y,Average,2096541,19585,534438,17276,835,7605,Y,4,-79.32312,43.68373,4
82,A&W,Under 1 year,N,"Lease, want to purchase",46,12,68,86,19,78,N,Y,N,N,Japanese,N,Low-end,1537894,355954,1066071,7985,5156,29749,Y,2,-79.47478,43.76733,2
83,A&W,1-5 years,N,Own,38,6,10,97,63,72,Y,N,N,N,Japanese,Y,Low-end,1321614,514780,2130074,8018,5664,14325,Y,3,-79.37803,43.66664,3
84,A&W RESTAURANT,1-5 years,Y,Lease,11,18,42,86,63,59,Y,Y,Y,N,Greek,Y,High-end,3255773,6985,365519,29815,6923,5158,Y,4,-79.4731,43.6709,4
86,A-GAME CAFE,1-5 years,N,Own,22,10,4,92,38,91,Y,N,Y,N,Others,N,Average,1681607,772281,1293332,16436,2667,6282,Y,2,-79.40791,43.65172,2
87,A-OK CAFE,6-10 years,Y,Own,27,1,4,79,18,82,Y,Y,Y,Y,Thai,Y,Average,2709682,884215,531349,12912,5050,9164,Y,3,-79.38832,43.67039,3
88,A.C. RANCH CAFFE,11-20 years,N,"Lease, want to purchase",13,6,6,158,63,78,Y,N,N,N,Greek,N,High-end,3648687,545508,4328726,26989,2796,19875,Y,3,-79.44478,43.67785,3
90,AAA,1-5 years,N,Lease,42,15,64,98,30,42,N,N,Y,N,Others,Y,Low-end,1759932,492897,673252,8045,497,10022,Y,4,-79.32884,43.66385,4
91,AAA BAR,Over 20 years,N,"Lease, want to purchase",25,12,6,120,55,82,Y,N,Y,Y,Others,Y,Low-end,1749444,674532,1044483,9122,8511,9308,Y,4,-79.37277,43.65178,4
92,AAA PUBLIC HOUSE,Under 1 year,N,Lease,22,9,31,128,50,46,Y,Y,Y,N,Chinese,N,Average,1666432,667200,427431,13420,10158,3345,Y,4,-79.35193,43.66584,4
94,AANCH MODERNISTIC INDIAN CUISINE,Under 1 year,Y,Own,54,13,63,99,67,50,Y,Y,N,N,Vietnamese,N,High-end,4648593,695339,4091304,26721,1771,24496,Y,2,-79.39078,43.64496,2
96,ABSINTHE COFFEE HOUSE CAFETERIA - PRIVATE ACCESS,Under 1 year,N,Lease,19,15,50,130,53,62,Y,N,N,N,Mediterranean,N,Average,3425603,512156,1860042,16099,2067,20465,Y,2,-79.50234,43.77342,2
97,ABSOLUTE COMEDY,1-5 years,N,Lease,40,2,55,121,61,58,Y,Y,N,N,Korean,Y,High-end,3426201,14100,4889474,33414,17851,29800,Y,4,-79.39832,43.70864,4
100,ABYSSINA ETHIOPIAN RESTAURANT,11-20 years,Y,Lease,51,8,3,98,25,62,Y,N,Y,N,Greek,N,Low-end,1175277,448167,1053447,6337,2673,5326,Y,3,-79.33986,43.68015,3
102,ACAI CONCEPT,Over 20 years,N,Own,40,11,29,83,33,76,Y,N,Y,N,Mediterranean,Y,Average,3429057,67985,931520,12507,4524,10147,Y,2,-79.40923,43.65165,2
103,ACQUA DOLCE,1-5 years,N,"Lease, want to purchase",64,10,7,145,36,87,Y,N,Y,N,Japanese,N,High-end,3532100,720142,1133425,34192,22457,6347,Y,3,-79.42203,43.63147,3
105,ADAM'S PUB,6-10 years,N,Own,7,17,39,158,49,62,Y,Y,Y,N,Mediterranean,N,Low-end,1414317,33857,935097,5095,3692,7489,Y,4,-79.30792,43.7366,4
106,ADAM'S SHAWARMA,11-20 years,Y,Lease,38,19,40,98,50,79,Y,N,N,N,Mediterranean,Y,Average,2298825,243695,1238878,24338,11342,25468,Y,2,-79.38047,43.66597,2
107,ADAMSON BARBECUE,1-5 years,Y,Own,57,6,10,129,7,57,N,N,Y,N,Japanese,Y,Average,3480063,429547,647382,12907,1186,4729,Y,3,-79.35314,43.71252,3
108,ADDIS CAFE & DONUT,1-5 years,N,Own,58,2,59,127,57,40,Y,Y,Y,N,Greek,Y,Average,3059289,772258,807282,14024,1360,4987,Y,3,-79.28381,43.69255,3
112,ADVANTAGE HEALTH MATTERS INC.,6-10 years,N,Lease,43,14,18,150,33,87,Y,Y,N,N,Chinese,Y,Low-end,795838,68837,1499997,7936,1192,39013,Y,2,-79.56754,43.76584,2
116,AFRICAN CHOP BAR,11-20 years,Y,Lease,19,15,40,104,49,84,Y,Y,N,N,Greek,N,Average,3425379,621178,3821672,15175,10299,11950,Y,2,-79.55324,43.74954,2
117,AFRICAN DELIGHT CAFE & RESTAURANT,1-5 years,N,Lease,54,3,45,112,16,85,Y,Y,Y,N,Mexican,N,Average,2127137,680072,1081104,20885,10969,10116,Y,2,-79.43743,43.65953,2
119,AFRICAN PLAYER RESTAURANT,1-5 years,Y,Own,22,3,32,79,10,51,Y,Y,Y,N,Greek,N,Low-end,1810237,406522,567159,8979,7526,8941,Y,3,-79.49595,43.6894,3
123,AGAINST THE GRAIN URBAN TAVERN,Under 1 year,N,Lease,22,14,26,100,14,77,Y,N,N,N,Indian,Y,High-end,4505444,719034,2533529,35939,21099,32100,Y,4,-79.36939,43.64379,4
126,AGO BISTRO,1-5 years,Y,Lease,38,14,66,148,55,52,N,Y,Y,N,Greek,N,Average,3018407,438862,877181,14715,10864,7131,Y,4,-79.39371,43.65384,4
127,AH SO SUSHI,6-10 years,Y,Own,5,7,22,154,63,66,Y,Y,Y,N,Others,Y,High-end,3683918,502169,936961,37347,33058,7500,Y,4,-79.32973,43.65767,4
129,AHZIMAE ZIPBAP,1-5 years,Y,"Lease, want to purchase",19,5,40,139,37,75,Y,Y,N,N,Mexican,N,High-end,4564054,502031,4322362,30238,27155,25000,Y,2,-79.41853,43.79049,2
133,AJI SUSHI,1-5 years,Y,Own,37,19,17,85,47,79,Y,N,N,N,Greek,Y,High-end,3044257,331400,2523468,37904,30012,25000,Y,3,-79.492679999999993,43.77259,3
135,AJISEN RAMEN,1-5 years,Y,Lease,15,2,69,126,20,58,N,Y,Y,N,Chinese,Y,High-end,4898111,736688,745193,27146,16177,9352,Y,3,-79.29337,43.8157,3
136,AJISEN RAMEN,6-10 years,N,Own,9,15,38,133,11,75,N,N,Y,Y,Vietnamese,N,Average,2677111,244615,469671,24516,14472,6285,Y,2,-79.39852,43.6539,2
137,AKA-ONI JAPANESE CUISINE,1-5 years,N,Lease,54,13,26,165,25,44,Y,Y,Y,Y,Greek,Y,Low-end,1392459,2878,1130470,8443,4758,6547,Y,4,-79.29921,43.82188,4
148,ALBANY PIZZA,11-20 years,N,Own,19,5,52,103,58,68,Y,N,N,N,American,Y,Low-end,936814,693411,3426247,6346,187,30465,Y,4,-79.43912,43.64771,4
