ID,Name,Business_Operation_Year,Franchise,Own_Lease,Number_Of_Staff_Before_Covid,Number_Of_Staff_During_Covid,Number_Of_Staff_During_Reopen,Total_Hours_Per_Week_Before_Covid,Total_Hours_Per_Week_During_Covid,Total_Hours_Per_Week_During_Reopen,Delivery,Curbside_Pickup,Dine_In_Service,Patio_Service,Cuisine,Offer_Alcohol,Price_Point_Target,Income_052019_062019,Income_052020_062020,Income_052021_062021,Profit_052019_062019,Profit_052020_062020,Profit_052021_062021,Selected_Open,Helpfulness,Long,Lat,Helpfulness_Factor
4,12 TABLES,11-20 years,Y,Lease,33,2,53,80,30,40,Y,N,Y,N,Mexican,N,Low-end,155700,68966,120107,5691,1669,4390,Y,5,-79.41635,43.72334,5
14,24SEVEN LOUNGE,1-5 years,Y,Own,57,16,39,97,28,74,N,Y,Y,N,Japanese,N,Low-end,123139,340,193370,3372,340,5295,Y,1,-79.60061,43.7312,1
17,3 EGGS ALL DAY PUB & GRILL,1-5 years,N,Own,51,10,28,72,11,59,Y,Y,Y,N,Japanese,N,High-end,541575,189709,478298,11567,526,10215,Y,2,-79.42851,43.70059,2
21,365 BAR & GRILL,6-10 years,Y,Own,50,9,36,134,3,49,Y,N,N,N,Thai,N,Average,446966,168167,297710,12241,2987,8153,Y,1,-79.2193,43.74408,1
23,416 SNACK BAR,Over 20 years,Y,Own,44,16,9,115,38,82,Y,Y,Y,N,Mexican,N,Low-end,218310,72396,167088,6500,3049,4975,Y,3,-79.404,43.64755,3
25,4C Broast Chicken,1-5 years,N,Own,44,14,60,162,7,69,Y,Y,Y,N,Japanese,N,Low-end,236693,35084,154934,6981,2177,4569,Y,1,-79.30782,43.74285,1
29,5 SPICE DINING,1-5 years,N,Own,12,4,40,126,68,53,Y,Y,N,N,Mexican,N,Average,308667,130635,344241,9104,1442,10153,Y,4,-79.24781,43.82307,4
36,709 GREEK CAFE SHOP,Under 1 year,Y,Own,40,12,29,130,68,67,Y,N,Y,N,Mexican,Y,Average,261149,55118,198802,6874,2045,5233,Y,3,-79.34344,43.67901,3
45,99 SUSHI,1-5 years,N,Own,68,8,5,136,50,77,N,Y,Y,N,Indian,Y,Low-end,260831,18224,157862,8170,593,4944,Y,4,-79.39322,43.70804,4
52,A & W,11-20 years,Y,Own,10,15,64,93,50,89,N,Y,Y,N,Mediterranean,Y,Average,204198,47834,105839,8947,3283,4637,Y,4,-79.47451,43.68162,4
69,A & W,6-10 years,N,Own,68,7,8,161,39,45,N,N,Y,N,Thai,N,Low-end,263219,67738,164185,7852,3645,4897,Y,4,-79.39578,43.64886,4
73,A & W RESTAURANT,11-20 years,N,Lease,68,4,26,164,42,97,N,Y,N,N,Vietnamese,Y,Low-end,209271,37764,148121,7371,330,5217,Y,5,-79.43477,43.65993,5
78,A& W,6-10 years,N,Own,68,14,10,147,36,55,N,Y,Y,N,Vietnamese,N,Low-end,172595,21936,139514,5956,141,4814,Y,4,-79.35239,43.66536,4
79,A&W,1-5 years,Y,Lease,45,2,32,130,61,45,Y,N,Y,N,American,N,Low-end,135706,21655,164032,3062,836,3701,Y,1,-79.33224,43.68174,1
80,A&W,1-5 years,Y,"Lease, want to purchase",63,19,44,155,69,41,Y,Y,Y,N,Mexican,N,Average,271617,78082,207535,8939,340,6830,Y,5,-79.32312,43.68373,5
86,A-GAME CAFE,1-5 years,Y,Own,63,4,9,127,44,54,Y,N,N,N,Mexican,Y,High-end,516135,93699,433136,17044,4447,14303,Y,5,-79.40791,43.65172,5
91,AAA BAR,6-10 years,N,Lease,24,2,50,163,58,95,Y,N,Y,N,American,Y,Low-end,130457,32565,107091,2711,419,2225,Y,5,-79.37277,43.65178,5
98,ABU HUMMUS,Over 20 years,N,Own,63,8,11,154,20,73,Y,Y,Y,N,Thai,Y,High-end,743426,49402,572406,29785,944,22933,Y,4,-79.40168,43.65448,4
105,ADAM'S PUB,1-5 years,Y,Own,34,4,69,72,16,97,N,Y,Y,N,Italian,Y,Average,488580,13008,126377,16861,5898,4361,Y,2,-79.30792,43.7366,2
110,ADI BIRYANI & KABOB HOUSE,Under 1 year,Y,Own,17,16,42,151,53,60,Y,Y,Y,Y,Mediterranean,N,Average,495666,46419,186352,10261,565,3857,Y,5,-79.2696,43.70729,5
111,ADONAI,1-5 years,Y,Own,46,15,3,81,54,56,Y,N,N,N,Mediterranean,N,Average,242850,23745,439704,5789,1964,10481,Y,1,-79.1984,43.7587,1
115,AFGHAN KEBOB CUISINE,11-20 years,N,Lease,32,3,38,167,33,92,Y,Y,Y,Y,Korean,N,Average,260304,42683,156004,8351,4297,5004,Y,2,-79.55585,43.71533,2
120,AFRICAN VILLAGE,11-20 years,N,Lease,13,15,20,106,50,44,Y,Y,Y,N,Korean,Y,Low-end,144050,28776,136009,4584,468,4328,Y,2,-79.53704,43.72103,2
134,AJISEN RAMEN,1-5 years,N,Lease,36,15,22,130,48,80,Y,Y,Y,N,Chinese,N,High-end,609362,200632,405160,18884,7352,12556,Y,4,-79.413,43.77162,4
137,AKA-ONI JAPANESE CUISINE,Over 20 years,N,"Lease, want to purchase",39,8,34,136,10,43,Y,N,Y,Y,Mexican,Y,Average,381827,122433,157201,12445,1040,5123,Y,3,-79.29921,43.82188,3
142,AL MANDI TORONTO,Under 1 year,N,Own,16,7,5,107,28,90,Y,N,Y,N,Indian,Y,High-end,491363,260952,394778,14642,7018,11763,Y,1,-79.32937,43.68235,1
143,AL'S PIZZERIA & GRILL,Under 1 year,Y,Own,60,18,25,71,51,40,Y,Y,N,N,Korean,N,High-end,655456,299994,286680,21572,9323,9435,Y,1,-79.2615,43.7155,1
146,AL-MEEZAN SPICY GRILL LTD.,11-20 years,N,Lease,11,16,69,164,35,53,Y,Y,N,N,Indian,N,Average,217776,70082,304011,7279,2135,10162,Y,4,-79.61329,43.72076,4
148,ALBANY PIZZA,1-5 years,Y,Lease,48,18,6,117,50,69,N,Y,Y,N,Korean,N,Average,403904,90158,280971,8726,595,6070,Y,2,-79.43912,43.64771,2
155,ALEPPO KEBAB,11-20 years,N,Own,49,8,13,119,38,40,N,Y,Y,N,Others,N,Low-end,250233,45845,123540,10851,3731,5357,Y,3,-79.29824,43.74496,3
