ID,Name,Business_Operation_Year,Franchise,Own_Lease,Number_Of_Staff_Before_Covid,Number_Of_Staff_During_Covid,Number_Of_Staff_During_Reopen,Total_Hours_Per_Week_Before_Covid,Total_Hours_Per_Week_During_Covid,Total_Hours_Per_Week_During_Reopen,Delivery,Curbside_Pickup,Dine_In_Service,Patio_Service,Cuisine,Offer_Alcohol,Price_Point_Target,Income_052019_062019,Income_052020_062020,Income_052021_062021,Profit_052019_062019,Profit_052020_062020,Profit_052021_062021,Selected_Open,Helpfulness,Long,Lat,Helpfulness_Factor
2,100% SALVA DO RENO,Under 1 year,Y,Own,10,5,26,90,24,66,Y,N,Y,Y,Greek,Y,High-end,589217,225156,387911,19016,9226,12519,Y,4,-79.4942,43.69724,4
6,1810 DANFORTH AVENUE SOCIAL CLUB,1-5 years,N,Lease,56,8,48,121,25,64,Y,N,N,N,Mexican,N,Average,307129,168222,178514,11226,558,6524,Y,2,-79.31856,43.68467,2
7,1858 CAFE,Under 1 year,N,Own,38,14,22,97,21,74,Y,Y,N,N,Japanese,Y,Average,258087,7509,305225,5512,1863,6519,Y,4,-79.37994,43.65012,4
16,3 BRASSEURS,Over 20 years,Y,Own,41,10,62,93,47,85,Y,Y,Y,N,Others,N,Low-end,238254,7962,129829,7159,3044,3901,Y,4,-79.41996,43.63871,4
18,3030,1-5 years,N,Lease,57,13,30,133,0,91,N,Y,Y,N,Greek,Y,High-end,757775,44099,390486,33316,3126,17168,Y,1,-79.4705,43.66583,1
19,32 CHICKEN ST,6-10 years,N,Own,40,3,35,120,33,67,Y,N,Y,Y,Korean,Y,Average,296222,156372,232033,6394,2085,5008,Y,5,-79.40656,43.65653,5
26,4C Broast Chicken,11-20 years,Y,Lease,39,11,31,111,12,91,Y,Y,Y,Y,Indian,N,Average,235396,42668,263938,6345,2261,7114,Y,5,-79.30892,43.71022,5
33,7 NUMBERS EGLINTON,11-20 years,Y,Lease,55,4,12,84,10,89,Y,Y,Y,N,Greek,N,Average,375468,28030,359701,15080,3382,14447,Y,1,-79.38215,43.71025,1
37,8 Noodles/Eight Noodles,Over 20 years,Y,Lease,11,18,29,100,23,64,Y,Y,Y,Y,Italian,N,Low-end,183615,25237,143625,4789,137,3746,Y,5,-79.30887,43.7783,5
43,989 HAWAII BAR,Over 20 years,N,Lease,7,13,56,88,18,77,Y,Y,N,N,Japanese,Y,Low-end,140916,39357,118168,6174,2096,5178,Y,5,-79.43163,43.66702,5
44,99 MYTHIC TASTE - NORTH YORK,1-5 years,Y,Own,23,13,19,104,67,50,Y,Y,N,N,Thai,Y,Low-end,122132,29147,140565,5023,1990,5781,Y,4,-79.41525,43.77553,4
48,A & W,Under 1 year,N,Lease,39,10,23,146,2,47,N,Y,Y,N,Japanese,N,Average,387871,220,178967,15540,110,7170,Y,5,-79.48393,43.73465,5
51,A & W,1-5 years,N,Own,25,13,69,77,48,94,Y,N,N,N,Mediterranean,Y,Low-end,176282,34066,141440,7144,1562,5732,Y,5,-79.34626,43.70555,5
53,A & W,1-5 years,Y,Lease,26,8,50,122,8,82,Y,N,Y,N,Mediterranean,Y,Average,432938,168967,174899,17806,5666,7193,Y,5,-79.22421,43.76155,5
56,A & W,1-5 years,N,Own,64,1,9,90,48,56,N,Y,N,Y,Indian,N,Low-end,197887,48643,121866,5896,876,3631,Y,3,-79.35889,43.67597,3
63,A & W,1-5 years,N,Lease,24,8,38,136,53,51,Y,Y,Y,N,Vietnamese,Y,Low-end,197243,83190,102160,8376,3947,4338,Y,5,-79.38994,43.64598,5
64,A & W,Over 20 years,N,Lease,15,16,42,155,35,80,Y,Y,Y,N,Italian,N,Low-end,137866,14892,77225,4929,833,2761,Y,5,-79.41742,43.72582,5
71,A & W,Under 1 year,N,Own,36,16,29,161,67,45,N,N,Y,N,Thai,N,Average,422795,199685,94992,10713,2892,2406,Y,4,-79.39908,43.70716,4
74,A + W,1-5 years,Y,Lease,63,4,33,89,69,63,Y,Y,Y,N,American,N,Average,473036,234939,410137,19170,1623,16621,Y,4,-79.32521,43.76055,4
81,A&W,1-5 years,Y,Lease,29,1,65,100,35,42,Y,Y,N,N,Mexican,N,High-end,712723,68600,269768,21021,5692,7956,Y,5,-79.42165,43.67142,5
