ID,Name,Business_Operation_Year,Franchise,Own_Lease,Number_Of_Staff_Before_Covid,Number_Of_Staff_During_Covid,Number_Of_Staff_During_Reopen,Total_Hours_Per_Week_Before_Covid,Total_Hours_Per_Week_During_Covid,Total_Hours_Per_Week_During_Reopen,Delivery,Curbside_Pickup,Dine_In_Service,Patio_Service,Cuisine,Offer_Alcohol,Price_Point_Target,Income_052019_062019,Income_052020_062020,Income_052021_062021,Profit_052019_062019,Profit_052020_062020,Profit_052021_062021,Selected_Open,Helpfulness,Long,Lat,Helpfulness_Factor
2,100% SALVA DO RENO,Under 1 year,N,Lease,45,15,42,159,10,49,Y,Y,Y,N,Greek,N,Average,292155,39728,240842,9889,4790,8152,Y,5,-79.4942,43.69724,5
3,1011 SIP TEA,1-5 years,N,Own,14,14,57,74,15,42,Y,Y,Y,N,Italian,N,Average,482902,220693,314060,12790,3556,8318,Y,5,-79.41461,43.66426,5
7,1858 CAFE,11-20 years,N,"Lease, want to purchase",29,9,28,83,36,45,Y,Y,Y,Y,American,Y,High-end,523252,260555,465810,13859,299,12337,Y,5,-79.37994,43.65012,5
8,1915 LANZHOU RAMEN,11-20 years,N,Lease,10,11,64,103,42,55,N,N,Y,N,Italian,Y,Low-end,123071,37025,172470,3259,319,4568,Y,3,-79.38665,43.655,3
13,241 PIZZA,Under 1 year,Y,Lease,15,8,48,146,64,73,N,N,N,Y,Thai,N,Low-end,209274,50895,117828,9236,5465,5200,Y,3,-79.45064,43.67606,3
14,24SEVEN LOUNGE,Under 1 year,N,Own,23,18,45,147,37,83,Y,N,N,N,Japanese,N,Average,193890,14029,284963,6929,998,10184,Y,5,-79.60061,43.7312,5
19,32 CHICKEN ST,Under 1 year,N,Own,67,18,26,91,30,82,Y,N,N,N,Indian,N,Average,212148,55028,380178,4994,1693,8951,Y,5,-79.40656,43.65653,5
21,365 BAR & GRILL,1-5 years,N,Own,36,6,57,101,35,61,Y,Y,Y,Y,Italian,N,High-end,471247,171281,476429,12238,5921,12372,Y,3,-79.2193,43.74408,3
22,369 MAZEL,Over 20 years,Y,Own,56,11,12,152,0,67,Y,Y,Y,N,Mediterranean,N,Average,342857,118355,98618,12216,4898,3513,Y,2,-79.30711,43.68727,2
25,4C Broast Chicken,1-5 years,N,Own,59,8,49,162,7,91,Y,Y,Y,Y,Chinese,Y,Low-end,193964,28662,182823,4721,1131,4449,Y,1,-79.30782,43.74285,1
26,4C Broast Chicken,6-10 years,Y,Lease,63,13,51,77,32,51,Y,Y,Y,Y,Greek,Y,Low-end,247779,91259,145673,5897,222,3467,Y,2,-79.30892,43.71022,2
27,5  POINTS BAR & GRILL,1-5 years,N,Own,58,12,61,163,14,48,N,Y,N,Y,Chinese,N,Low-end,265463,29892,135838,9487,1373,4854,Y,4,-79.44145,43.69269,4
32,7 NUMBERS,Over 20 years,N,Lease,33,8,45,82,15,84,N,Y,Y,N,Vietnamese,Y,Average,491813,16822,330267,20192,1793,13559,Y,5,-79.35385,43.67696,5
38,817 SPORTS BAR & GRILL,Under 1 year,N,Own,26,5,3,120,22,96,Y,Y,Y,N,Mediterranean,Y,Average,344682,82360,205263,9753,4001,5808,Y,1,-79.40916,43.64604,1
42,98 AROMA,1-5 years,Y,Lease,65,2,57,81,46,50,Y,N,Y,N,American,N,High-end,697211,168323,466037,16415,6252,10972,Y,5,-79.3997,43.65653,5
43,989 HAWAII BAR,Under 1 year,Y,Lease,24,5,38,112,17,83,Y,N,Y,N,Greek,Y,High-end,450320,188675,230108,16045,6635,8198,Y,1,-79.43163,43.66702,1
44,99 MYTHIC TASTE - NORTH YORK,1-5 years,N,Own,59,7,5,152,6,79,N,N,Y,N,Others,N,High-end,506821,108412,371551,17535,5647,12855,Y,4,-79.41525,43.77553,4
47,A & W,Under 1 year,N,Own,33,13,11,146,11,59,Y,Y,N,Y,Chinese,N,Average,386979,24243,105455,15780,3264,4300,Y,5,-79.29914,43.78031,5
49,A & W,6-10 years,N,Own,52,3,52,135,62,43,Y,N,N,N,Japanese,Y,Average,247944,54219,190297,6244,980,4792,Y,5,-79.37848,43.66043,5
51,A & W,1-5 years,Y,Lease,6,3,18,95,49,53,Y,N,N,Y,Greek,N,High-end,537226,35410,522575,20698,298,20133,Y,3,-79.34626,43.70555,3
52,A & W,1-5 years,N,Own,69,2,38,121,17,80,Y,N,Y,N,Italian,Y,Low-end,135961,19958,117763,4704,442,4074,Y,2,-79.47451,43.68162,2
55,A & W,1-5 years,N,"Lease, want to purchase",39,3,56,106,8,41,N,N,N,N,Chinese,Y,Average,176911,57788,315528,5234,1811,9335,Y,4,-79.39991,43.71537,4
56,A & W,Under 1 year,Y,Lease,6,7,68,76,44,95,Y,N,Y,N,Japanese,Y,Low-end,198889,57154,156711,7662,691,6037,Y,4,-79.35889,43.67597,4
59,A & W,Under 1 year,Y,Own,48,17,18,112,51,85,Y,N,N,N,Greek,Y,Low-end,210927,123609,184120,8660,166,7559,Y,3,-79.43723,43.64046,3
61,A & W,11-20 years,Y,Own,13,6,53,151,53,69,Y,Y,Y,N,Korean,N,Low-end,202003,78004,142411,8491,4447,5986,Y,2,-79.40643,43.64684,2
63,A & W,Over 20 years,N,Own,63,8,27,162,27,76,Y,N,Y,Y,Japanese,N,High-end,690757,45217,393564,16220,2427,9241,Y,5,-79.38994,43.64598,5
64,A & W,Under 1 year,N,Own,41,3,23,138,15,72,Y,N,Y,N,Chinese,Y,High-end,682688,72415,499240,28699,14966,20987,Y,1,-79.41742,43.72582,1
65,A & W,1-5 years,N,Lease,32,19,21,83,28,50,Y,N,N,Y,Greek,Y,Low-end,267137,27512,128591,7558,19,3638,Y,2,-79.42265,43.65461,2
66,A & W,1-5 years,N,Own,50,2,36,162,56,70,Y,Y,Y,Y,Japanese,N,Average,414965,41852,273947,11316,1114,7470,Y,4,-79.38403,43.66309,4
67,A & W,Under 1 year,N,Lease,64,9,50,113,24,40,Y,Y,Y,N,Indian,Y,Average,367254,87220,235892,15432,438,9912,Y,4,-79.3448,43.67917,4
68,A & W,11-20 years,Y,Lease,61,11,39,123,54,65,Y,N,N,N,Greek,Y,High-end,643812,190816,402723,18217,110,11395,Y,4,-79.39693,43.70677,4
70,A & W,11-20 years,Y,Lease,26,17,50,155,63,74,N,Y,Y,N,Chinese,N,Average,407764,18566,303450,18290,2049,13611,Y,2,-79.30181,43.76624,2
72,A & W 4458,6-10 years,Y,Lease,61,19,47,133,8,79,Y,Y,Y,N,Indian,Y,Low-end,268757,46141,153551,7535,1831,4305,Y,1,-79.22282,43.80918,1
73,A & W RESTAURANT,Over 20 years,Y,Lease,18,14,54,140,57,51,Y,N,N,N,Indian,N,High-end,759069,6227,691989,20777,5945,18941,Y,5,-79.43477,43.65993,5
76,A LA TURK,1-5 years,N,Own,32,2,62,143,61,52,Y,Y,N,N,Mexican,N,High-end,623345,122086,423699,16809,4980,11425,Y,5,-79.40423,43.73358,5
