ID,Name,Owner,Dine_Type,Mailing_Address,Billing_Address,Postal_Code,Phone_1,Phone_2,Email,Website,Business_Operation_Year,Business_Owner_Year,Number_Of_Staff_Before_Covid,Number_Of_Staff_During_Covid,Number_Of_Staff_During_Reopen,Total_Hours_Per_Week_Before_Covid,Total_Hours_Per_Week_During_Covid,Total_Hours_Per_Week_During_Reopen,Delivery,Curbside_Pickup,Dine_In_Service,Patio_Service,Cuisine,Offer_Alcohol,Price_Point_Target,Guest_Capacity,Business_Start_Hour,Business_End_Hour,Franchise,Own_Lease,Income_052019_102019,Income_052020_102020,Income_052021_102021,Profit_052019_102019,Profit_052020_102020,Profit_052021_102021,Customers_Weekly_Before_Covid,Customers_Weekly_During_Covid,Customers_Weekly_During_Reopen,Helpfulness
1,0109 Dessert + Chocolate,Jona Shanahan,Restaurant,"2190 MCNICOLL AVE, -109","2190 MCNICOLL AVE, -109","NA",6787317862,6598368714,kicfbgo@aj.rfe,"NA",6-10 years,6-10 years,21,22,16,18,18,4,Y,N,Y,N,Mediterranean,N,Average,101,12,22,N,Own,4635430,186739,4447328,38862,19048,23095,318,141,303,4
2,100% SALVA DO RENO,Mario Pfeffer,Restaurant,612 TRETHEWEY DR,612 TRETHEWEY DR,"NA",9264722674,3126341648,q@olvuyjsbit.xig,"NA",Under 1 year,11-20 years,21,1,21,22,33,25,Y,Y,N,N,Indian,N,Average,86,12,22,Y,Lease,3510378,616888,2769962,37,16595,21788,127,25,112,4
3,1011 SIP TEA,Cory Cormier,Restaurant,635A BLOOR ST W,635A BLOOR ST W,"NA",8273466351,6973618527,qok@crwmhxz.erc,"NA",11-20 years,Under 1 year,5,3,20,34,0,21,Y,Y,Y,N,Mediterranean,N,Average,74,10,19,N,Lease,1001879,65029,1778795,6403,20158,28196,230,206,22,2
4,12 TABLES,Danille Swaniawski,Restaurant,1552 AVENUE RD,1552 AVENUE RD,"NA",2796497951,4689159152,inafxytslh@t.nyg,"NA",11-20 years,6-10 years,22,15,25,26,11,4,Y,Y,Y,N,Chinese,Y,Low-end,44,9,20,N,Lease,2797546,859698,2415406,721,13368,29722,349,160,386,2
5,120 DINER,Jerilyn Gutkowski,Restaurant,120 CHURCH ST,120 CHURCH ST,"NA",8712158794,6838426578,jmysot@foym.juq,"NA",11-20 years,Under 1 year,24,24,15,8,2,23,N,N,N,Y,Chinese,N,Average,36,11,19,N,Own,4254119,797422,4562188,18596,9245,13963,256,313,154,4
6,1810 DANFORTH AVENUE SOCIAL CLUB,Barton Skiles,Restaurant,1810 DANFORTH AVE,1810 DANFORTH AVE,"NA",8926373129,6522587345,qdwpjfik@bmhxvc.ymj,"NA",1-5 years,6-10 years,24,6,25,14,4,36,Y,Y,Y,N,American,Y,Low-end,82,10,20,N,"Lease, want to purchase",4179792,126480,3769672,10930,11097,37457,282,353,132,1
7,1858 CAFE,Marquis Borer,Restaurant,22 ADELAIDE ST W,22 ADELAIDE ST W,"NA",2858143284,2531658147,tagc@npordvyhtl.rgs,"NA",Over 20 years,1-5 years,6,5,15,36,1,28,Y,Y,N,N,Greek,N,High-end,110,9,19,Y,Own,3210489,708151,4590753,37260,17022,22492,362,267,219,3
8,1915 LANZHOU RAMEN,Susannah Leffler,Restaurant,185 DUNDAS ST W,185 DUNDAS ST W,"NA",3654692357,2732168573,nfvzakgric@nvtz.msb,"NA",Under 1 year,Under 1 year,20,20,6,34,10,33,Y,Y,Y,N,Mexican,Y,High-end,130,10,22,Y,Own,4228766,566201,684697,23403,8637,38111,212,329,477,2
9,19TH HOLE GRILL,Arthur Heidenreich,Restaurant,550 CENTENNIAL PARK BLVD,550 CENTENNIAL PARK BLVD,"NA",6356187352,3744393412,xtb@olyi.yil,"NA",Under 1 year,Over 20 years,5,15,13,13,13,37,Y,N,Y,N,Mexican,Y,High-end,23,9,19,Y,Lease,2671094,40032,2456305,22013,22736,36010,153,148,250,4
10,19TH HOLE SPORTS BAR AND GRILL,Antonette Boyle,Restaurant,434 ROGERS RD,434 ROGERS RD,"NA",1742132398,4813729752,rpdyla@dpahcm.bpc,"NA",Under 1 year,Over 20 years,17,12,25,24,33,25,N,Y,Y,N,Italian,Y,Low-end,59,9,19,N,Own,3057620,490325,588115,10881,6597,27887,327,385,181,1
11,2 FOR 1 SHAWARMA,David Wolff,Restaurant,1106 BLOOR ST W,1106 BLOOR ST W,"NA",8691694136,8594573746,hiozreukmt@difpyga.fyw,"NA",Under 1 year,1-5 years,20,29,4,39,36,24,N,Y,N,N,Mexican,Y,Low-end,127,12,18,N,Own,3255035,162635,1744984,29,18508,18877,26,301,390,1
12,233-PIZZA NOVA,Hubert Emard,Restaurant,1 BLUE JAYS WAY,1 BLUE JAYS WAY,"NA",2598492386,2717327419,aofkldjv@vtcrlqwz.tsz,"NA",Over 20 years,Under 1 year,19,19,11,16,25,35,Y,Y,Y,Y,Greek,Y,Average,65,9,18,Y,Lease,3215997,164341,4537175,15062,12018,1153,107,415,242,2
13,241 PIZZA,Otha Sauer,Restaurant,1349 ST CLAIR AVE W,1349 ST CLAIR AVE W,"NA",6274783257,1869171532,bmizyu@hsjgcbf.tzy,"NA",Over 20 years,1-5 years,13,14,20,34,12,8,Y,Y,Y,N,Chinese,Y,Average,16,9,22,N,Lease,471731,956933,843143,4350,7070,29168,484,129,46,1
